id;country_en;city_en;lat;lng;population
1;United Arab Emirates;Ras al-Khaimah;25.8006926;55.9761994;115949
2;United Arab Emirates;Dubai;25.2048493;55.2707828;1137347
3;United Arab Emirates;Sharjah;25.3223269;55.5136433;543733
4;United Arab Emirates;Al Fujayrah;25.4110762;56.2482277;62415
5;United Arab Emirates;Al Ain;24.1301619;55.8023118;408733
6;United Arab Emirates;Ajman;25.4052165;55.5136433;226172
7;United Arab Emirates;Abu Dhabi;24.2991738;54.6972774;603492
8;Afghanistan;Taloqan;36.7338782;69.5394189;64256
9;Afghanistan;Shibirghan;36.6817149;65.7490624;55641
10;Afghanistan;Sar-e Pul;35.6707473;66.0463534;52121
11;Afghanistan;Pul-e Khumri;35.8042947;69.2877535;56369
12;Afghanistan;Maymana;35.91784;64.7755147;75900
13;Afghanistan;Mazar-e Sharif;36.6926167;67.1179511;303282
14;Afghanistan;Kunduz;36.7285907;68.8680663;161902
15;Afghanistan;Khost;33.3338472;69.9371673;96123
16;Afghanistan;Khulm;36.7027082;67.7079491;64933
17;Afghanistan;Khanabad;36.681449;69.1149051;71531
18;Afghanistan;Kandahar;31.628871;65.7371749;391190
19;Afghanistan;Kabul;34.5553494;69.207486;3043532
20;Afghanistan;Jalalabad;34.4198488;70.4729434;200331
21;Afghanistan;Herat;34.352865;62.2040287;272806
22;Afghanistan;Ghazni;33.5450587;68.4173972;141000
23;Afghanistan;Gardez;33.6042793;69.2281531;103601
24;Afghanistan;Charikar;35.0107648;69.1625896;53676
25;Afghanistan;Bamyan;34.8100067;67.8212104;61863
26;Afghanistan;Balkh;36.7550603;66.8975372;114883
27;Afghanistan;Baghlan;36.1789026;68.7453064;108449
28;Afghanistan;Bazarak;37.0038848;70.8714528;65000
29;Afghanistan;Cool urhajo;34.26545;67.34516;58525
30;Albania;Korce;40.6140785;20.7778071;58259
31;Albania;Elbasan;41.11023;20.0866554;100903
32;Albania;Vlore;40.4660668;19.491356;89546
33;Albania;Tirana;41.3275459;19.8186982;374801
